experiment,filename,onomatopoeia_type,ground_truth_keyword,recognized_text,is_correct
exp1_sd15_2050,Byur_00001_.png,byur,byur,Buuv,0
exp1_sd15_2050,Byur_00002_.png,byur,byur,BUd' BuuR Yuul ,0
exp1_sd15_2050,Byur_00003_.png,byur,byur,Boux,0
exp1_sd15_2050,Byur_00004_.png,byur,byur,EXUUR,0
exp1_sd15_2050,Byur_00005_.png,byur,byur,Bui Buv YUU,0
exp1_sd15_2050,Byur_00006_.png,byur,byur,BYUUR,0
exp1_sd15_2050,Byur_00007_.png,byur,byur,Buur,0
exp1_sd15_2050,Byur_00008_.png,byur,byur,S BUUk,0
exp1_sd15_2050,Byur_00009_.png,byur,byur,BUR,0
exp1_sd15_2050,Byur_00010_.png,byur,byur,BYUUR,0
exp1_sd15_2050,Dutt_00001_.png,dutt,dutt,NC DUuTTTT,1
exp1_sd15_2050,Dutt_00002_.png,dutt,dutt,Duuudti,0
exp1_sd15_2050,Dutt_00003_.png,dutt,dutt,BUHF,0
exp1_sd15_2050,Dutt_00004_.png,dutt,dutt,DuutT 5 Duuu),1
exp1_sd15_2050,Dutt_00005_.png,dutt,dutt,DUUTT; DUUUtT 'DUututt',1
exp1_sd15_2050,Dutt_00006_.png,dutt,dutt,DuutIT Duuutit-,1
exp1_sd15_2050,Dutt_00007_.png,dutt,dutt,'GETT FM,0
exp1_sd15_2050,Dutt_00008_.png,dutt,dutt,DUUUUTT,1
exp1_sd15_2050,Dutt_00009_.png,dutt,dutt,"C,0 DUUUT DUUTUTT",1
exp1_sd15_2050,Dutt_00010_.png,dutt,dutt,DUUTT DuTT,1
exp1_sd15_2050,Gluduk_00001_.png,gluduk,gluduk,&bK,0
exp1_sd15_2050,Gluduk_00002_.png,gluduk,gluduk,CUDX GLUDuik,0
exp1_sd15_2050,Gluduk_00003_.png,gluduk,gluduk,CLUI ~JLUD,0
exp1_sd15_2050,Gluduk_00004_.png,gluduk,gluduk,cuBk,0
exp1_sd15_2050,Gluduk_00005_.png,gluduk,gluduk,GuoKK,0
exp1_sd15_2050,Gluduk_00006_.png,gluduk,gluduk,GLVDUK,0
exp1_sd15_2050,Gluduk_00007_.png,gluduk,gluduk,GLLIIDDK,0
exp1_sd15_2050,Gluduk_00008_.png,gluduk,gluduk,GLDUk Buwbo GIUDU Mha,0
exp1_sd15_2050,Gluduk_00009_.png,gluduk,gluduk,CLUIDUC CbU GWudi',0
exp1_sd15_2050,Gluduk_00010_.png,gluduk,gluduk,CLUDW,0
exp1_sd15_2050,Gong_00001_.png,gongg,gongg,,0
exp1_sd15_2050,Gong_00002_.png,gongg,gongg,,0
exp1_sd15_2050,Gong_00003_.png,gongg,gongg,,0
exp1_sd15_2050,Gong_00004_.png,gongg,gongg,,0
exp1_sd15_2050,Gong_00005_.png,gongg,gongg,GNC,0
exp1_sd15_2050,Gong_00006_.png,gongg,gongg,,0
exp1_sd15_2050,Gong_00007_.png,gongg,gongg,,0
exp1_sd15_2050,Gong_00008_.png,gongg,gongg,,0
exp1_sd15_2050,Gong_00009_.png,gongg,gongg,,0
exp1_sd15_2050,Gong_00010_.png,gongg,gongg,,0
exp1_sd15_2050,Ting_00001_.png,ting,ting,TinGa,1
exp1_sd15_2050,Ting_00002_.png,ting,ting,TING;,1
exp1_sd15_2050,Ting_00003_.png,ting,ting,TING' -,1
exp1_sd15_2050,Ting_00004_.png,ting,ting,TIINIG:,0
exp1_sd15_2050,Ting_00005_.png,ting,ting,TiNG . A:,1
exp1_sd15_2050,Ting_00006_.png,ting,ting,TinnG,0
exp1_sd15_2050,Ting_00007_.png,ting,ting,JliG,0
